columnas,genero,indice_gap,min,max,estado,total
_50_54_HOMBRES,1,5054,50,54,9,344332.0
_50_54_MUJERES,2,5054,50,54,9,393799.0
_50_54_NOBINARIO,9,5054,50,54,9,0.0
_55_59_HOMBRES,1,5559,55,59,9,288802.0
_55_59_MUJERES,2,5559,55,59,9,342092.0
_55_59_NOBINARIO,9,5559,55,59,9,0.0
_60_64_HOMBRES,1,6064,60,64,9,249591.0
_60_64_MUJERES,2,6064,60,64,9,306721.0
_60_64_NOBINARIO,9,6064,60,64,9,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,9,528840.0
_65_Y_MAS_MUJERES,2,65,65,100,9,745687.0
_65_Y_MAS_NOBINARIO,9,65,65,100,9,0.0
_18_HOMBRES,1,18,18,18,10,10988.0
_18_MUJERES,2,18,18,18,10,10838.0
_18_NOBINARIO,9,18,18,18,10,0.0
_19_HOMBRES,1,19,19,19,10,15049.0
_19_MUJERES,2,19,19,19,10,15063.0
_19_NOBINARIO,9,19,19,19,10,0.0
_20_24_HOMBRES,1,2024,20,24,10,82270.0
_20_24_MUJERES,2,2024,20,24,10,82521.0
_20_24_NOBINARIO,9,2024,20,24,10,0.0
_25_29_HOMBRES,1,2529,25,29,10,81312.0
_25_29_MUJERES,2,2529,25,29,10,80485.0
_25_29_NOBINARIO,9,2529,25,29,10,0.0
_30_34_HOMBRES,1,3034,30,34,10,74183.0
_30_34_MUJERES,2,3034,30,34,10,76904.0
_30_34_NOBINARIO,9,3034,30,34,10,0.0
_35_39_HOMBRES,1,3539,35,39,10,67767.0
_35_39_MUJERES,2,3539,35,39,10,70537.0
_35_39_NOBINARIO,9,3539,35,39,10,0.0
_40_44_HOMBRES,1,4044,40,44,10,63018.0
_40_44_MUJERES,2,4044,40,44,10,65462.0
_40_44_NOBINARIO,9,4044,40,44,10,0.0
_45_49_HOMBRES,1,4549,45,49,10,62589.0
_45_49_MUJERES,2,4549,45,49,10,65570.0
_45_49_NOBINARIO,9,4549,45,49,10,0.0
_50_54_HOMBRES,1,5054,50,54,10,58717.0
_50_54_MUJERES,2,5054,50,54,10,62292.0
_50_54_NOBINARIO,9,5054,50,54,10,0.0
_55_59_HOMBRES,1,5559,55,59,10,50771.0
_55_59_MUJERES,2,5559,55,59,10,55116.0
_55_59_NOBINARIO,9,5559,55,59,10,0.0
_60_64_HOMBRES,1,6064,60,64,10,42914.0
_60_64_MUJERES,2,6064,60,64,10,46813.0
_60_64_NOBINARIO,9,6064,60,64,10,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,10,96380.0
_65_Y_MAS_MUJERES,2,65,65,100,10,106783.0
_65_Y_MAS_NOBINARIO,9,65,65,100,10,0.0
_18_HOMBRES,1,18,18,18,11,36813.0
_18_MUJERES,2,18,18,18,11,37990.0
_18_NOBINARIO,9,18,18,18,11,0.0
_19_HOMBRES,1,19,19,19,11,52544.0
_19_MUJERES,2,19,19,19,11,54417.0
_19_NOBINARIO,9,19,19,19,11,1.0
_20_24_HOMBRES,1,2024,20,24,11,290106.0
_20_24_MUJERES,2,2024,20,24,11,295500.0
_20_24_NOBINARIO,9,2024,20,24,11,0.0
_25_29_HOMBRES,1,2529,25,29,11,290166.0
_25_29_MUJERES,2,2529,25,29,11,291697.0
_25_29_NOBINARIO,9,2529,25,29,11,1.0
_30_34_HOMBRES,1,3034,30,34,11,266364.0
_30_34_MUJERES,2,3034,30,34,11,283629.0
_30_34_NOBINARIO,9,3034,30,34,11,1.0
_35_39_HOMBRES,1,3539,35,39,11,242194.0
_35_39_MUJERES,2,3539,35,39,11,261852.0
_35_39_NOBINARIO,9,3539,35,39,11,0.0
_40_44_HOMBRES,1,4044,40,44,11,225437.0
_40_44_MUJERES,2,4044,40,44,11,246187.0
_40_44_NOBINARIO,9,4044,40,44,11,0.0
_45_49_HOMBRES,1,4549,45,49,11,211954.0
_45_49_MUJERES,2,4549,45,49,11,233860.0
_45_49_NOBINARIO,9,4549,45,49,11,0.0
_50_54_HOMBRES,1,5054,50,54,11,191512.0
_50_54_MUJERES,2,5054,50,54,11,213467.0
_50_54_NOBINARIO,9,5054,50,54,11,0.0
_55_59_HOMBRES,1,5559,55,59,11,158670.0
_55_59_MUJERES,2,5559,55,59,11,180461.0
_55_59_NOBINARIO,9,5559,55,59,11,0.0
_60_64_HOMBRES,1,6064,60,64,11,129597.0
_60_64_MUJERES,2,6064,60,64,11,148470.0
_60_64_NOBINARIO,9,6064,60,64,11,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,11,281966.0
_65_Y_MAS_MUJERES,2,65,65,100,11,333949.0
_65_Y_MAS_NOBINARIO,9,65,65,100,11,0.0
_18_HOMBRES,1,18,18,18,12,16366.0
_18_MUJERES,2,18,18,18,12,17872.0
_18_NOBINARIO,9,18,18,18,12,0.0
_19_HOMBRES,1,19,19,19,12,28000.0
_19_MUJERES,2,19,19,19,12,30147.0
_19_NOBINARIO,9,19,19,19,12,0.0
_20_24_HOMBRES,1,2024,20,24,12,160264.0
_20_24_MUJERES,2,2024,20,24,12,169029.0
_20_24_NOBINARIO,9,2024,20,24,12,0.0
_25_29_HOMBRES,1,2529,25,29,12,162033.0
_25_29_MUJERES,2,2529,25,29,12,168569.0
_25_29_NOBINARIO,9,2529,25,29,12,0.0
_30_34_HOMBRES,1,3034,30,34,12,140418.0
_30_34_MUJERES,2,3034,30,34,12,155123.0
_30_34_NOBINARIO,9,3034,30,34,12,0.0
_35_39_HOMBRES,1,3539,35,39,12,127489.0
_35_39_MUJERES,2,3539,35,39,12,139883.0
_35_39_NOBINARIO,9,3539,35,39,12,0.0
_40_44_HOMBRES,1,4044,40,44,12,119304.0
_40_44_MUJERES,2,4044,40,44,12,129915.0
_40_44_NOBINARIO,9,4044,40,44,12,0.0
_45_49_HOMBRES,1,4549,45,49,12,112650.0
_45_49_MUJERES,2,4549,45,49,12,123548.0
_45_49_NOBINARIO,9,4549,45,49,12,0.0
_50_54_HOMBRES,1,5054,50,54,12,100395.0
_50_54_MUJERES,2,5054,50,54,12,111895.0
_50_54_NOBINARIO,9,5054,50,54,12,0.0
_55_59_HOMBRES,1,5559,55,59,12,85239.0
_55_59_MUJERES,2,5559,55,59,12,96796.0
_55_59_NOBINARIO,9,5559,55,59,12,0.0
_60_64_HOMBRES,1,6064,60,64,12,73290.0
_60_64_MUJERES,2,6064,60,64,12,84019.0
_60_64_NOBINARIO,9,6064,60,64,12,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,12,181769.0
_65_Y_MAS_MUJERES,2,65,65,100,12,214917.0
_65_Y_MAS_NOBINARIO,9,65,65,100,12,0.0
_18_HOMBRES,1,18,18,18,13,18576.0
_18_MUJERES,2,18,18,18,13,19421.0
_18_NOBINARIO,9,18,18,18,13,0.0
_19_HOMBRES,1,19,19,19,13,26382.0
_19_MUJERES,2,19,19,19,13,27012.0
_19_NOBINARIO,9,19,19,19,13,0.0
_20_24_HOMBRES,1,2024,20,24,13,138566.0
_20_24_MUJERES,2,2024,20,24,13,140077.0
_20_24_NOBINARIO,9,2024,20,24,13,1.0
_25_29_HOMBRES,1,2529,25,29,13,129449.0
_25_29_MUJERES,2,2529,25,29,13,132407.0
_25_29_NOBINARIO,9,2529,25,29,13,0.0
_30_34_HOMBRES,1,3034,30,34,13,121989.0
_30_34_MUJERES,2,3034,30,34,13,135450.0
_30_34_NOBINARIO,9,3034,30,34,13,0.0
_35_39_HOMBRES,1,3539,35,39,13,114131.0
_35_39_MUJERES,2,3539,35,39,13,129156.0
_35_39_NOBINARIO,9,3539,35,39,13,0.0
_40_44_HOMBRES,1,4044,40,44,13,111050.0
_40_44_MUJERES,2,4044,40,44,13,126094.0
_40_44_NOBINARIO,9,4044,40,44,13,0.0
_45_49_HOMBRES,1,4549,45,49,13,105249.0
_45_49_MUJERES,2,4549,45,49,13,118779.0
_45_49_NOBINARIO,9,4549,45,49,13,0.0
_50_54_HOMBRES,1,5054,50,54,13,95141.0
_50_54_MUJERES,2,5054,50,54,13,107611.0
_50_54_NOBINARIO,9,5054,50,54,13,0.0
_55_59_HOMBRES,1,5559,55,59,13,77981.0
_55_59_MUJERES,2,5559,55,59,13,90003.0
_55_59_NOBINARIO,9,5559,55,59,13,0.0
_60_64_HOMBRES,1,6064,60,64,13,65068.0
_60_64_MUJERES,2,6064,60,64,13,75216.0
_60_64_NOBINARIO,9,6064,60,64,13,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,13,148239.0
_65_Y_MAS_MUJERES,2,65,65,100,13,176039.0
_65_Y_MAS_NOBINARIO,9,65,65,100,13,0.0
_18_HOMBRES,1,18,18,18,14,50068.0
_18_MUJERES,2,18,18,18,14,50355.0
_18_NOBINARIO,9,18,18,18,14,2.0
_19_HOMBRES,1,19,19,19,14,69984.0
_19_MUJERES,2,19,19,19,14,70338.0
_19_NOBINARIO,9,19,19,19,14,2.0
_20_24_HOMBRES,1,2024,20,24,14,382900.0
_20_24_MUJERES,2,2024,20,24,14,381482.0
_20_24_NOBINARIO,9,2024,20,24,14,11.0
_25_29_HOMBRES,1,2529,25,29,14,379863.0
_25_29_MUJERES,2,2529,25,29,14,372860.0
_25_29_NOBINARIO,9,2529,25,29,14,4.0
_30_34_HOMBRES,1,3034,30,34,14,361295.0
_30_34_MUJERES,2,3034,30,34,14,362127.0
_30_34_NOBINARIO,9,3034,30,34,14,3.0
_35_39_HOMBRES,1,3539,35,39,14,338943.0
_35_39_MUJERES,2,3539,35,39,14,345566.0
_35_39_NOBINARIO,9,3539,35,39,14,2.0
_40_44_HOMBRES,1,4044,40,44,14,315783.0
_40_44_MUJERES,2,4044,40,44,14,325704.0
_40_44_NOBINARIO,9,4044,40,44,14,1.0
_45_49_HOMBRES,1,4549,45,49,14,290745.0
_45_49_MUJERES,2,4549,45,49,14,307733.0
_45_49_NOBINARIO,9,4549,45,49,14,0.0
_50_54_HOMBRES,1,5054,50,54,14,276573.0
_50_54_MUJERES,2,5054,50,54,14,295937.0
_50_54_NOBINARIO,9,5054,50,54,14,0.0
_55_59_HOMBRES,1,5559,55,59,14,226032.0
_55_59_MUJERES,2,5559,55,59,14,250958.0
_55_59_NOBINARIO,9,5559,55,59,14,0.0
_60_64_HOMBRES,1,6064,60,64,14,187473.0
_60_64_MUJERES,2,6064,60,64,14,211656.0
_60_64_NOBINARIO,9,6064,60,64,14,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,14,419693.0
_65_Y_MAS_MUJERES,2,65,65,100,14,503233.0
_65_Y_MAS_NOBINARIO,9,65,65,100,14,0.0
_18_HOMBRES,1,18,18,18,15,104009.0
_18_MUJERES,2,18,18,18,15,104297.0
