N_estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
NUEVO LEON,1.0,2.0,31.0,26180.804192357577,PAN-PRI-PRD,5,26472.125622534215
NUEVO LEON,7.0,2.0,35.0,26180.804192357577,MORENA-PT-Partido Verde,5,26472.125622534215
NUEVO LEON,7.0,1.0,28.0,29906.12061585841,MORENA-PT-Partido Verde,5,30238.89472641801
NUEVO LEON,1.0,2.0,50.0,25559.00353537806,PAN-PRI-PRD,5,25843.40600862178
NUEVO LEON,7.0,2.0,59.0,25559.00353537806,MORENA-PT-Partido Verde,5,25843.40600862178
NUEVO LEON,1.0,2.0,56.0,25559.00353537806,PAN-PRI-PRD,5,25843.40600862178
NUEVO LEON,7.0,1.0,48.0,30718.090341091913,MORENA-PT-Partido Verde,5,31059.89947517017
CHIAPAS,7.0,2.0,32.0,31872.660095314724,MORENA-PT-Partido Verde,5,32227.31646317417
MEXICO,7.0,1.0,20.0,67147.48327432577,MORENA-PT-Partido Verde,5,67894.65286913709
CHIAPAS,5.0,2.0,18.0,39741.72612063108,MORENA-PT-Partido Verde,5,40183.94387704859
CHIAPAS,7.0,1.0,60.0,37396.37808775148,MORENA-PT-Partido Verde,5,37812.49847381396
MICHOACAN  DE OCAMPO,1.0,1.0,26.0,63889.21427319153,PAN-PRI-PRD,5,64600.128160258486
MICHOACAN  DE OCAMPO,99.0,2.0,42.0,54385.91627756178,NS,5,54991.08420116862
MICHOACAN  DE OCAMPO,7.0,1.0,21.0,54397.05535423289,MORENA-PT-Partido Verde,5,55002.34722558873
MEXICO,5.0,2.0,28.0,64905.42098456637,MORENA-PT-Partido Verde,5,65627.6424995556
MEXICO,1.0,2.0,56.0,63363.90097955765,PAN-PRI-PRD,5,64068.96955267367
MICHOACAN  DE OCAMPO,7.0,1.0,34.0,63889.21427319153,MORENA-PT-Partido Verde,5,64600.128160258486
MICHOACAN  DE OCAMPO,99.0,2.0,52.0,54602.35630211168,NS,5,55209.93261688313
MICHOACAN  DE OCAMPO,4.0,1.0,62.0,64324.41657177558,MORENA-PT-Partido Verde,5,65040.173081517845
MEXICO,1.0,1.0,76.0,74645.97204689088,PAN-PRI-PRD,5,75476.57950928401
MICHOACAN  DE OCAMPO,4.0,2.0,23.0,69739.50555859541,MORENA-PT-Partido Verde,5,70515.51733997042
MEXICO,1.0,2.0,45.0,63112.73078815214,PAN-PRI-PRD,5,63815.00451742608
MEXICO,7.0,1.0,39.0,68204.33544595882,MORENA-PT-Partido Verde,5,68963.26494256167
PUEBLA,99.0,2.0,37.0,51964.76980752837,NS,5,52542.996929503024
PUEBLA,7.0,1.0,54.0,62702.41063039227,MORENA-PT-Partido Verde,5,63400.1186078157
CIUDAD DE MEXICO,7.0,2.0,56.0,66091.25086700125,MORENA-PT-Partido Verde,5,66826.66745631893
CHIAPAS,7.0,2.0,67.0,42397.419637759725,MORENA-PT-Partido Verde,5,42869.18806908533
CHIAPAS,99.0,2.0,27.0,31872.660095314724,NS,5,32227.31646317417
CHIAPAS,1.0,1.0,63.0,36655.88572487113,PAN-PRI-PRD,5,37063.76643683482
CHIAPAS,7.0,1.0,29.0,36407.881520957395,MORENA-PT-Partido Verde,5,36813.00261794352
MEXICO,1.0,1.0,23.0,63125.65725138546,PAN-PRI-PRD,5,63828.074817179026
CIUDAD DE MEXICO,7.0,2.0,54.0,66091.25086700125,MORENA-PT-Partido Verde,5,66826.66745631893
CIUDAD DE MEXICO,3.0,2.0,41.0,65829.26964624513,PAN-PRI-PRD,5,66561.77109424977
MEXICO,1.0,1.0,54.0,76153.90920697972,PAN-PRI-PRD,5,77001.29592515375
GUERRERO,7.0,1.0,27.0,63538.844878041615,MORENA-PT-Partido Verde,5,64245.86010284689
CIUDAD DE MEXICO,7.0,2.0,52.0,66091.25086700125,MORENA-PT-Partido Verde,5,66826.66745631893
CIUDAD DE MEXICO,7.0,1.0,43.0,71140.03043515644,MORENA-PT-Partido Verde,5,71931.62626456298
GUERRERO,7.0,2.0,58.0,54302.91617330486,MORENA-PT-Partido Verde,5,54907.16053058809
