estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
26.0,1.0,1.0,19.0,101515.63560252058,PAN-PRI-PRD,1,108024.46032528464
26.0,7.0,2.0,60.0,59340.336843369405,MORENA-PT-Partido Verde,1,63145.03007324345
26.0,7.0,1.0,55.0,66299.5041727169,MORENA-PT-Partido Verde,1,70550.39468140682
26.0,7.0,2.0,31.0,52456.55302386358,MORENA-PT-Partido Verde,1,55819.88229985374
26.0,7.0,2.0,34.0,71747.6103873006,MORENA-PT-Partido Verde,1,76347.81426246121
26.0,99.0,2.0,27.0,84468.7078950819,NR,1,89884.54370189425
1.0,99.0,1.0,53.0,61627.030218069965,NR,1,65578.3381667732
1.0,2.0,1.0,72.0,41149.32219032891,PAN-PRI-PRD,1,43787.671682086875
1.0,1.0,2.0,44.0,142924.51214177383,PAN-PRI-PRD,1,152088.32806624676
1.0,2.0,2.0,32.0,66691.17979968285,PAN-PRI-PRD,1,70967.18316895794
1.0,98.0,2.0,30.0,176122.73098392008,NS,1,187415.09968027883
1.0,1.0,2.0,23.0,175757.97148812795,PAN-PRI-PRD,1,187026.95309135583
1.0,96.0,1.0,63.0,92246.2931068352,Ninguno,1,98160.80026224529
1.0,5.0,1.0,40.0,81473.45050169609,MORENA-PT-Partido Verde,1,86697.24096241569
1.0,96.0,1.0,35.0,72993.0056083474,Ninguno,1,77673.05983519275
1.0,98.0,2.0,51.0,55099.6783104008,NS,1,58632.475463021685
11.0,98.0,2.0,29.0,56797.361632775785,NS,1,60439.00825587001
11.0,98.0,2.0,66.0,80538.27285046727,NS,1,85702.10301659415
11.0,7.0,2.0,18.0,78515.7548142523,MORENA-PT-Partido Verde,1,83549.90825306304
11.0,1.0,1.0,26.0,305156.41778886097,PAN-PRI-PRD,1,324721.9716528112
11.0,6.0,2.0,23.0,78515.7548142523,Movimiento Ciudadano,1,83549.90825306304
11.0,99.0,2.0,61.0,123472.20042678168,NR,1,131388.8026914673
11.0,7.0,2.0,36.0,149288.59189435656,MORENA-PT-Partido Verde,1,158860.45017984512
11.0,98.0,2.0,34.0,66691.17979968285,NS,1,70967.18316895794
11.0,98.0,1.0,46.0,134682.58759377582,NS,1,143317.96036815897
11.0,7.0,2.0,67.0,80538.27285046727,MORENA-PT-Partido Verde,1,85702.10301659415
19.0,96.0,1.0,39.0,73773.80829964762,Ninguno,1,78503.92484281075
