estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Mujeres,34,30744.944422797736,31329.884036770076,MORENA-PT-Partido Verde,30-34,31329.884036770076
NA,NA,Mujeres,76,119668.84782584506,121945.61400532332,MORENA-PT-Partido Verde,65-100,121945.61400532332
NA,NA,Mujeres,42,16231.346184243535,16540.15654476,MORENA-PT-Partido Verde,40-44,16540.15654476
NA,NA,Mujeres,59,21729.026640123844,22142.433419465557,MORENA-PT-Partido Verde,55-59,22142.433419465557
NA,NA,Hombres,54,50909.82471803756,51878.41235990972,PAN-PRI-PRD,50-54,-51878.41235990972
NA,NA,Hombres,37,16815.244292256873,17135.16363801669,PAN-PRI-PRD,35-39,-17135.16363801669
NA,NA,Mujeres,26,17071.75317389675,17396.552743349395,MORENA-PT-Partido Verde,25-29,17396.552743349395
NA,NA,Hombres,33,9196.087152467437,9371.047809252088,MORENA-PT-Partido Verde,30-34,-9371.047809252088
NA,NA,Hombres,63,29336.777017439537,29894.925465775945,PAN-PRI-PRD,60-64,-29894.925465775945
NA,NA,Mujeres,36,10370.385769551252,10567.68810860793,Movimiento Ciudadano,35-39,10567.68810860793
NA,NA,Mujeres,31,9355.255760693812,9533.24468849994,MORENA-PT-Partido Verde,30-34,9533.24468849994
NA,NA,Hombres,45,9483.67626322246,9664.108462291082,MORENA-PT-Partido Verde,45-49,-9664.108462291082
NA,NA,Mujeres,65,16792.352206515177,17111.836017651392,MORENA-PT-Partido Verde,65-100,17111.836017651392
NA,NA,Mujeres,24,7968.485461199497,8120.090315172237,NR,20-24,8120.090315172237
NA,NA,Hombres,18,28960.265179453207,29511.250281317454,MORENA-PT-Partido Verde,18-18,-29511.250281317454
NA,NA,Mujeres,57,11989.76893850943,12217.880940211697,MORENA-PT-Partido Verde,55-59,12217.880940211697
NA,NA,Hombres,51,161681.48321235817,164757.56307368926,MORENA-PT-Partido Verde,50-54,-164757.56307368926
NA,NA,Hombres,50,161681.48321235817,164757.56307368926,MORENA-PT-Partido Verde,50-54,-164757.56307368926
NA,NA,Mujeres,29,178882.9017051551,182286.24809052295,MORENA-PT-Partido Verde,25-29,182286.24809052295
NA,NA,Mujeres,38,165582.80348049226,168733.10812298555,MORENA-PT-Partido Verde,35-39,168733.10812298555
NA,NA,Hombres,39,127160.28983077264,129579.58484797452,MORENA-PT-Partido Verde,35-39,-129579.58484797452
NA,NA,Mujeres,30,169547.15728847525,172772.8859601748,MORENA-PT-Partido Verde,30-34,172772.8859601748
NA,NA,Hombres,68,213924.17353498485,217994.19954531384,MORENA-PT-Partido Verde,65-100,-217994.19954531384
NA,NA,Mujeres,23,151459.37417583942,154340.97274517085,MORENA-PT-Partido Verde,20-24,154340.97274517085
NA,NA,Hombres,20,197058.53610117815,200807.6840082892,MORENA-PT-Partido Verde,20-24,-200807.6840082892
NA,NA,Mujeres,71,266640.1451524288,271713.12175079726,MORENA-PT-Partido Verde,65-100,271713.12175079726
NA,NA,Hombres,66,462531.18399759894,471331.09622047184,PAN-PRI-PRD,65-100,-471331.09622047184
NA,NA,Hombres,41,213968.244989836,218039.10948402865,NR,40-44,-218039.10948402865
NA,NA,Mujeres,48,235807.32867742568,240293.6938473085,NR,45-49,240293.6938473085
NA,NA,Mujeres,19,122196.1077765003,124520.95647776213,MORENA-PT-Partido Verde,19-19,124520.95647776213
NA,NA,Mujeres,61,319481.3295792031,325559.6390087319,PAN-PRI-PRD,60-64,325559.6390087319
NA,NA,Hombres,25,461329.2521305524,470106.29693325167,PAN-PRI-PRD,25-29,-470106.29693325167
NA,NA,Hombres,18,97460.894487901,99315.14204207384,MORENA-PT-Partido Verde,18-18,-99315.14204207384
NA,NA,Mujeres,44,315093.3077518529,321088.132633207,PAN-PRI-PRD,40-44,321088.132633207
NA,NA,Hombres,46,214189.69850052576,218264.7762705427,MORENA-PT-Partido Verde,45-49,-218264.7762705427
NA,NA,Mujeres,29,484540.70872572187,493759.3643595809,PAN-PRI-PRD,25-29,493759.3643595809
NA,NA,Hombres,18,97460.894487901,99315.14204207384,MORENA-PT-Partido Verde,18-18,-99315.14204207384
NA,NA,Mujeres,65,33407.18735122158,34042.777612969956,MORENA-PT-Partido Verde,65-100,34042.777612969956
NA,NA,Hombres,40,20237.56994741166,20622.60093624634,MORENA-PT-Partido Verde,40-44,-20622.60093624634
NA,NA,Hombres,62,30941.392377838823,31530.06952307507,Ninguno,60-64,-31530.06952307507
NA,NA,Hombres,51,24303.05712581242,24765.436262298324,PAN-PRI-PRD,50-54,-24765.436262298324
NA,NA,Mujeres,50,36008.43244871581,36693.51284068694,PAN-PRI-PRD,50-54,36693.51284068694
NA,NA,Hombres,24,36045.91557727487,36731.709106549104,PAN-PRI-PRD,20-24,-36731.709106549104
NA,NA,Mujeres,49,16434.816502124173,16747.497998251074,Ninguno,45-49,16747.497998251074
NA,NA,Hombres,33,24327.51674972727,24790.36124411963,MORENA-PT-Partido Verde,30-34,-24790.36124411963
NA,NA,Mujeres,34,31961.837371881375,32569.92904890818,PAN-PRI-PRD,30-34,32569.92904890818
NA,NA,Mujeres,24,15151.810154209514,15440.081743213055,MORENA-PT-Partido Verde,20-24,15440.081743213055
NA,NA,Hombres,29,23764.372685903654,24216.503052250315,MORENA-PT-Partido Verde,25-29,-24216.503052250315
NA,NA,Hombres,37,76169.30185332285,77618.46505264181,PAN-PRI-PRD,35-39,-77618.46505264181
NA,NA,Hombres,65,23826.28759093004,24279.595922673136,MORENA-PT-Partido Verde,65-100,-24279.595922673136
NA,NA,Mujeres,48,27440.57956968096,27962.651810239782,Ninguno,45-49,27962.651810239782
NA,NA,Mujeres,41,16231.346184243535,16540.15654476,MORENA-PT-Partido Verde,40-44,16540.15654476
NA,NA,Hombres,51,22536.2152262988,22964.9792160328,MORENA-PT-Partido Verde,50-54,-22964.9792160328
NA,NA,Hombres,26,23764.372685903654,24216.503052250315,MORENA-PT-Partido Verde,25-29,-24216.503052250315
NA,NA,Mujeres,58,21729.026640123844,22142.433419465557,MORENA-PT-Partido Verde,55-59,22142.433419465557
NA,NA,Mujeres,30,30744.944422797736,31329.884036770076,MORENA-PT-Partido Verde,30-34,31329.884036770076
NA,NA,Mujeres,23,49274.85790886236,50212.33940069355,MORENA-PT-Partido Verde,20-24,50212.33940069355
NA,NA,Mujeres,49,21526.193763242372,21935.74153464209,Ninguno,45-49,21935.74153464209
NA,NA,Mujeres,56,41558.15823842635,42348.82524055504,PAN-PRI-PRD,55-59,42348.82524055504
NA,NA,Hombres,50,18600.462103034588,18954.346207446513,MORENA-PT-Partido Verde,50-54,-18954.346207446513
NA,NA,Mujeres,35,35288.90782472259,35960.29886178664,MORENA-PT-Partido Verde,35-39,35960.29886178664
NA,NA,Hombres,73,30050.532126241626,30622.26016125974,MORENA-PT-Partido Verde,65-100,-30622.26016125974
NA,NA,Mujeres,24,19845.722110814047,20223.29797730005,MORENA-PT-Partido Verde,20-24,20223.29797730005
NA,NA,Mujeres,33,24462.146539893816,24927.552440688683,MORENA-PT-Partido Verde,30-34,24927.552440688683
NA,NA,Hombres,18,11733.422226948103,11956.657090333196,MORENA-PT-Partido Verde,18-18,-11956.657090333196
NA,NA,Hombres,42,33091.44760454234,33721.030742550356,NR,40-44,-33721.030742550356
NA,NA,Hombres,25,26449.58734478271,26952.80540881384,MORENA-PT-Partido Verde,25-29,-26952.80540881384
NA,NA,Hombres,22,33104.13078495333,33733.95522750077,Ninguno,20-24,-33733.95522750077
NA,NA,Hombres,30,27980.516794572097,28512.861640199055,MORENA-PT-Partido Verde,30-34,-28512.861640199055
NA,NA,Mujeres,39,24802.75983417556,25274.646091744897,MORENA-PT-Partido Verde,35-39,25274.646091744897
NA,NA,Mujeres,23,19421.08191997771,19790.578771394143,MORENA-PT-Partido Verde,20-24,19790.578771394143
NA,NA,Hombres,35,28404.604273333433,28945.017618376285,MORENA-PT-Partido Verde,35-39,-28945.017618376285
NA,NA,Mujeres,53,47139.628701155256,48036.48627344629,Ninguno,50-54,48036.48627344629
NA,NA,Mujeres,63,47683.29180249596,48590.49286672037,MORENA-PT-Partido Verde,60-64,48590.49286672037
NA,NA,Mujeres,32,64302.65993906979,65526.05369658993,PAN-PRI-PRD,30-34,65526.05369658993
NA,NA,Hombres,61,49556.1959940786,50499.03009896706,MORENA-PT-Partido Verde,60-64,-50499.03009896706
NA,NA,Hombres,54,25824.63253547643,26315.9604877585,MORENA-PT-Partido Verde,50-54,-26315.9604877585
NA,NA,Mujeres,46,198613.8625405903,202392.6013955515,Movimiento Ciudadano,45-49,202392.6013955515
NA,NA,Mujeres,32,279084.34944704676,284394.08393172605,PAN-PRI-PRD,30-34,284394.08393172605
NA,NA,Mujeres,24,286687.16887937125,292141.55121908284,PAN-PRI-PRD,20-24,292141.55121908284
