estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Mujeres,39,8694.150143105271,10723.086102389478,MORENA-PT-Partido Verde,35-39,10723.086102389478
NA,NA,Hombres,44,52832.459004902965,65161.86143389876,MORENA-PT-Partido Verde,40-44,-65161.86143389876
NA,NA,Hombres,45,40546.210265194786,50008.39606434289,MORENA-PT-Partido Verde,45-49,-50008.39606434289
NA,NA,Hombres,52,55009.970101073755,67847.53382151734,MORENA-PT-Partido Verde,50-54,-67847.53382151734
NA,NA,Hombres,50,1811.9435398793437,2234.793081668008,MORENA-PT-Partido Verde,50-54,-2234.793081668008
NA,NA,Mujeres,38,67947.88274547538,83804.7405625503,MORENA-PT-Partido Verde,35-39,83804.7405625503
NA,NA,Mujeres,63,3409.314818457186,4204.939614191121,PAN-PRI-PRD,60-64,4204.939614191121
NA,NA,Hombres,33,44440.29945177758,54811.240845120614,MORENA-PT-Partido Verde,30-34,-54811.240845120614
NA,NA,Hombres,43,6739.158429024927,8311.861987958206,PAN-PRI-PRD,40-44,-8311.861987958206
NA,NA,Hombres,61,7438.505058452042,9174.413703689715,MORENA-PT-Partido Verde,60-64,-9174.413703689715
NA,NA,Hombres,46,4211.97401814058,5194.913742473878,PAN-PRI-PRD,45-49,-5194.913742473878
NA,NA,Hombres,24,24993.694881230414,30826.42211335915,Movimiento Ciudadano,20-24,-30826.42211335915
NA,NA,Hombres,18,19396.27280555052,23922.741146159584,MORENA-PT-Partido Verde,18-18,-23922.741146159584
NA,NA,Hombres,61,18397.584626406493,22690.991158164205,MORENA-PT-Partido Verde,60-64,-22690.991158164205
NA,NA,Hombres,50,48922.47557674227,60339.41320503622,PAN-PRI-PRD,50-54,-60339.41320503622
NA,NA,Hombres,64,18453.214471929103,22759.603226461026,MORENA-PT-Partido Verde,60-64,-22759.603226461026
NA,NA,Hombres,21,24604.28596257214,30346.13763528137,MORENA-PT-Partido Verde,20-24,-30346.13763528137
NA,NA,Hombres,50,30469.261104813173,37579.80997857519,MORENA-PT-Partido Verde,50-54,-37579.80997857519
NA,NA,Hombres,65,36429.601696521546,44931.103010377854,PAN-PRI-PRD,65-100,-44931.103010377854
NA,NA,Hombres,61,54294.72923006875,66965.37865770102,MORENA-PT-Partido Verde,60-64,-66965.37865770102
NA,NA,Hombres,67,35571.31265131554,43872.51681379827,MORENA-PT-Partido Verde,65-100,-43872.51681379827
NA,NA,Hombres,34,37486.568761451155,46234.73230801752,Movimiento Ciudadano,30-34,-46234.73230801752
NA,NA,Hombres,44,19396.27280555052,23922.741146159584,PAN-PRI-PRD,40-44,-23922.741146159584
NA,NA,Mujeres,57,64673.66898043026,79766.43025708005,PAN-PRI-PRD,55-59,79766.43025708005
NA,NA,Hombres,60,30350.054292979003,37432.78411793913,MORENA-PT-Partido Verde,60-64,-37432.78411793913
NA,NA,Mujeres,50,71555.87558365618,88254.7232778015,PAN-PRI-PRD,50-54,88254.7232778015
NA,NA,Hombres,60,56154.35549468176,69258.98208362344,MORENA-PT-Partido Verde,60-64,-69258.98208362344
NA,NA,Hombres,65,14416.077111145303,17780.32741292003,PAN-PRI-PRD,65-100,-17780.32741292003
NA,NA,Mujeres,62,6786.8411537585935,8370.672332212627,PAN-PRI-PRD,60-64,8370.672332212627
NA,NA,Hombres,62,6850.41812007015,8449.086124551855,MORENA-PT-Partido Verde,60-64,-8449.086124551855
NA,NA,Hombres,40,50909.2557739784,62789.84421563711,MORENA-PT-Partido Verde,40-44,-62789.84421563711
NA,NA,Hombres,49,36048.1398986522,44460.620256342474,PAN-PRI-PRD,45-49,-44460.620256342474
NA,NA,Mujeres,49,56329.19215203854,69474.62001255632,MORENA-PT-Partido Verde,45-49,69474.62001255632
NA,NA,Hombres,66,18326.060539305992,22602.775641782573,MORENA-PT-Partido Verde,65-100,-22602.775641782573
NA,NA,Hombres,25,471.5291668107064,581.5689598492771,PAN-PRI-PRD,25-29,-581.5689598492771
NA,NA,Hombres,42,33886.5230440593,41794.551316808705,MORENA-PT-Partido Verde,40-44,-41794.551316808705
NA,NA,Mujeres,70,49113.20647567694,60574.654582053896,MORENA-PT-Partido Verde,65-100,60574.654582053896
