estado,voto,genero,edad,ponderado,partido,encuesta,inverso,homo_pon
25,1,2,32,0.7575168826792147,MORENA-PT-Partido Verde,2,1.3201025915926279,83945.79508395727
11,1,1,29,0.549308568659551,MORENA-PT-Partido Verde,2,1.820470418730674,115764.36384599587
17,1,1,24,1.0270162309078112,MORENA-PT-Partido Verde,2,0.9736944460128631,61917.577436744104
15,1,1,33,0.549308568659551,MORENA-PT-Partido Verde,2,1.820470418730674,115764.36384599587
26,1,2,32,0.9259251161066312,MORENA-PT-Partido Verde,2,1.0800009445740515,68677.64563231081
5,1,2,66,1.3580812679329148,MORENA-PT-Partido Verde,2,0.73633296004595,46823.67580462692
9,1,1,25,1.0335422546207569,MORENA-PT-Partido Verde,2,0.9675463151401926,61526.6155996312
11,1,1,32,0.7060986874661334,MORENA-PT-Partido Verde,2,1.4162326283150937,90058.7384381414
5,1,1,36,0.5455342360713059,MORENA-PT-Partido Verde,2,1.83306552344277,116565.29105116635
21,1,2,35,0.5214441514450278,MORENA-PT-Partido Verde,2,1.9177509177709573,121950.46550969199
20,1,1,25,0.549308568659551,MORENA-PT-Partido Verde,2,1.820470418730674,115764.36384599587
14,1,2,20,0.45497100005745206,MORENA-PT-Partido Verde,2,2.1979422861538946,139767.93465517033
14,1,2,54,0.3725363649355181,MORENA-PT-Partido Verde,2,2.6843017061517975,170695.70380608144
2,1,1,18,0.8402214392558371,MORENA-PT-Partido Verde,2,1.1901624420410823,75682.85458455789
30,1,1,22,1.0270162309078112,MORENA-PT-Partido Verde,2,0.9736944460128631,61917.577436744104
25,1,1,52,0.7925070382889164,MORENA-PT-Partido Verde,2,1.2618184466337066,80239.48549822842
30,1,2,21,0.7003449965462845,MORENA-PT-Partido Verde,2,1.4278677008209508,90798.61685257989
21,1,2,76,1.9829470753643388,MORENA-PT-Partido Verde,2,0.5042998940434474,32068.610300324646
14,1,2,42,0.5214441514450278,MORENA-PT-Partido Verde,2,1.9177509177709573,121950.46550969199
22,1,2,27,0.6325764682109873,MORENA-PT-Partido Verde,2,1.5808365474424564,100525.96042004167
7,3,1,23,0.5458401079084114,Movimiento Ciudadano,2,1.832038330477162,116499.97148376924
12,1,1,35,0.7012470404344406,MORENA-PT-Partido Verde,2,1.4260309738782986,90681.81873057404
1,1,1,29,1.622509348246559,MORENA-PT-Partido Verde,2,0.6163292686607305,39192.59822739966
22,2,2,21,0.8560429966237764,PAN-PRI-PRD,2,1.1681656224558676,74284.06897413691
31,2,1,37,2.3527631472458292,PAN-PRI-PRD,2,0.425032158961947,27027.946727432827
30,2,2,35,0.7632567139832708,PAN-PRI-PRD,2,1.3101751765552345,83314.50721758243
15,2,1,27,0.7060986874661334,PAN-PRI-PRD,2,1.4162326283150937,90058.7384381414
21,2,2,25,0.9259251161066312,PAN-PRI-PRD,2,1.0800009445740515,68677.64563231081
21,2,2,45,1.100371938753226,PAN-PRI-PRD,2,0.9087836255921319,57789.87519263566
15,2,1,25,0.549308568659551,PAN-PRI-PRD,2,1.820470418730674,115764.36384599587
15,2,2,37,1.7495041149930257,PAN-PRI-PRD,2,0.5715905389590846,36347.64643367584
10,2,1,27,0.549308568659551,PAN-PRI-PRD,2,1.820470418730674,115764.36384599587
21,2,2,48,1.6066632898079851,PAN-PRI-PRD,2,0.6224079471682654,39579.143563818674
11,2,1,36,1.6113609878218107,PAN-PRI-PRD,2,0.6205934036865134,39463.75609601111
9,2,1,42,2.3527631472458292,PAN-PRI-PRD,2,0.425032158961947,27027.946727432827
12,2,1,36,1.0264407229216197,PAN-PRI-PRD,2,0.9742403800519918,61952.29357719403
5,2,2,45,1.100371938753226,PAN-PRI-PRD,2,0.9087836255921319,57789.87519263566
