estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
30.0,2.0,1.0,67.0,23992.83239786975,MORENA-PT-Partido Verde,3,25726.87188154705
2.0,2.0,1.0,65.0,23992.83239786975,MORENA-PT-Partido Verde,3,25726.87188154705
2.0,2.0,1.0,56.0,23992.83239786975,MORENA-PT-Partido Verde,3,25726.87188154705
2.0,2.0,1.0,59.0,27516.103028489364,MORENA-PT-Partido Verde,3,29504.780659254182
14.0,2.0,1.0,57.0,16865.30661250933,MORENA-PT-Partido Verde,3,18084.21678890899
5.0,2.0,1.0,73.0,18045.220225927183,MORENA-PT-Partido Verde,3,19349.406569769944
28.0,2.0,1.0,74.0,23992.83239786975,MORENA-PT-Partido Verde,3,25726.87188154705
21.0,1.0,1.0,50.0,45550.80581196953,PAN-PRI-PRD,3,48842.909657044744
20.0,1.0,1.0,61.0,31676.030695547932,PAN-PRI-PRD,3,33965.359733545585
14.0,2.0,1.0,72.0,22585.753950355436,MORENA-PT-Partido Verde,3,24218.0993303871
14.0,1.0,1.0,79.0,34490.036697329175,PAN-PRI-PRD,3,36982.74303707578
20.0,2.0,1.0,64.0,22585.753950355436,MORENA-PT-Partido Verde,3,24218.0993303871
20.0,3.0,1.0,66.0,26854.545113074146,Movimiento Ciudadano,3,28795.40981675116
19.0,2.0,1.0,50.0,10024.8642806332,MORENA-PT-Partido Verde,3,10749.393598091676
15.0,9.0,1.0,65.0,78605.037214857,NS,3,84286.07711403069
14.0,2.0,1.0,50.0,41844.09746534916,MORENA-PT-Partido Verde,3,44868.30552717844
9.0,2.0,1.0,53.0,259849.21556767722,MORENA-PT-Partido Verde,3,278629.3575752933
9.0,2.0,1.0,64.0,17213.28192185949,MORENA-PT-Partido Verde,3,18457.341397672903
9.0,1.0,1.0,56.0,257504.19172522993,PAN-PRI-PRD,3,276114.85128635797
9.0,1.0,1.0,71.0,38332.00241930855,PAN-PRI-PRD,3,41102.38002964005
9.0,1.0,1.0,74.0,103761.74053932876,PAN-PRI-PRD,3,111260.93663283586
9.0,8.0,1.0,58.0,219991.25859938152,Ninguno,3,235890.73733324956
15.0,1.0,1.0,70.0,125564.826212403,PAN-PRI-PRD,3,134639.80172186875
15.0,1.0,1.0,83.0,89259.94588982467,PAN-PRI-PRD,3,95711.05044960135
15.0,9.0,1.0,58.0,249185.16173279312,NS,3,267194.5781295642
15.0,1.0,1.0,59.0,126982.50739118012,PAN-PRI-PRD,3,136159.94329792203
19.0,2.0,2.0,28.0,64189.58055088622,MORENA-PT-Partido Verde,3,68828.76884137766
17.0,2.0,2.0,27.0,439686.2234119936,MORENA-PT-Partido Verde,3,471463.76677086134
16.0,2.0,2.0,24.0,132730.53511055544,MORENA-PT-Partido Verde,3,142323.39954417496
12.0,1.0,2.0,23.0,117727.17310206064,PAN-PRI-PRD,3,126235.69610907376
21.0,2.0,2.0,28.0,193782.5695466543,MORENA-PT-Partido Verde,3,207787.86168015725
9.0,2.0,2.0,29.0,59364.107137049315,MORENA-PT-Partido Verde,3,63654.54287976855
21.0,8.0,2.0,26.0,64769.63035570647,Ninguno,3,69450.74071889771
14.0,2.0,2.0,25.0,113992.95074540256,MORENA-PT-Partido Verde,3,122231.5894428062
