estado,voto,genero,edad,ponderado,homo_pon,partido
9,1,1,37,76169.30185332285,77618.46505264181,PAN-PRI-PRD
9,7,1,65,23826.287590930042,24279.595922673136,MORENA-PT-Partido Verde
9,95,2,48,27440.579569680962,27962.651810239782,Ninguno
9,7,2,41,16231.346184243535,16540.15654476,MORENA-PT-Partido Verde
9,7,1,51,22536.215226298802,22964.9792160328,MORENA-PT-Partido Verde
9,7,1,26,23764.372685903654,24216.503052250315,MORENA-PT-Partido Verde
9,7,2,58,21729.026640123844,22142.433419465557,MORENA-PT-Partido Verde
9,7,2,30,30744.944422797736,31329.884036770076,MORENA-PT-Partido Verde
9,7,2,23,49274.85790886236,50212.339400693556,MORENA-PT-Partido Verde
15,95,2,49,21526.193763242372,21935.741534642086,Ninguno
15,3,2,56,41558.15823842635,42348.82524055504,PAN-PRI-PRD
15,7,1,50,18600.462103034588,18954.346207446513,MORENA-PT-Partido Verde
15,7,2,35,35288.90782472259,35960.29886178664,MORENA-PT-Partido Verde
15,7,1,73,30050.532126241626,30622.26016125974,MORENA-PT-Partido Verde
15,7,2,24,19845.722110814047,20223.29797730005,MORENA-PT-Partido Verde
15,7,2,33,24462.146539893816,24927.552440688683,MORENA-PT-Partido Verde
15,7,1,18,11733.422226948103,11956.657090333196,MORENA-PT-Partido Verde
15,99,1,42,33091.44760454234,33721.030742550356,
15,7,1,25,26449.58734478271,26952.805408813838,MORENA-PT-Partido Verde
11,95,1,22,33104.13078495333,33733.95522750077,Ninguno
11,7,1,30,27980.516794572097,28512.861640199055,MORENA-PT-Partido Verde
11,7,2,39,24802.75983417556,25274.646091744897,MORENA-PT-Partido Verde
11,7,2,23,19421.08191997771,19790.578771394143,MORENA-PT-Partido Verde
11,4,1,35,28404.604273333433,28945.017618376285,MORENA-PT-Partido Verde
11,95,2,53,47139.628701155256,48036.48627344629,Ninguno
11,7,2,63,47683.29180249596,48590.492866720364,MORENA-PT-Partido Verde
11,1,2,32,64302.659939069796,65526.05369658993,PAN-PRI-PRD
11,4,1,61,49556.1959940786,50499.03009896706,MORENA-PT-Partido Verde
11,4,1,54,25824.632535476434,26315.9604877585,MORENA-PT-Partido Verde
10,6,2,46,198613.8625405903,202392.6013955515,Movimiento Ciudadano
10,1,2,32,279084.34944704676,284394.08393172605,PAN-PRI-PRD
10,1,2,24,286687.16887937125,292141.55121908284,PAN-PRI-PRD
10,7,1,24,200226.51447824892,204035.93493044816,MORENA-PT-Partido Verde
10,7,2,63,85876.06016594167,87509.89982400538,MORENA-PT-Partido Verde
10,7,2,46,156121.24296487588,159091.53617266065,MORENA-PT-Partido Verde
10,7,1,53,140160.3436181056,142826.9718664043,MORENA-PT-Partido Verde
10,7,1,25,168584.5707037626,171791.98563198835,MORENA-PT-Partido Verde
10,6,1,44,217220.04249458143,221352.77423923922,Movimiento Ciudadano
10,7,1,76,139058.91723279323,141704.59023343286,MORENA-PT-Partido Verde
21,7,1,77,30859.165473183293,31446.278205968316,MORENA-PT-Partido Verde
21,7,1,18,14689.065656712264,14968.533275085334,MORENA-PT-Partido Verde
21,7,1,45,32282.143117988813,32896.32878942669,MORENA-PT-Partido Verde
21,2,2,52,65235.94636668768,66477.09641594766,PAN-PRI-PRD
21,4,2,29,53519.00353204111,54537.23224749142,MORENA-PT-Partido Verde
21,95,2,24,79672.45430648494,81188.26692352473,Ninguno
21,7,2,70,154991.8661457236,157940.67233334857,MORENA-PT-Partido Verde
21,7,2,35,108263.78078917993,110323.55924482258,MORENA-PT-Partido Verde
21,7,1,38,43670.39825426346,44501.251793810785,MORENA-PT-Partido Verde
21,95,1,19,18337.88266415521,18686.771049157043,Ninguno
13,7,2,71,171981.03533945966,175253.0698905266,MORENA-PT-Partido Verde
13,99,1,33,156348.4010766156,159323.01609342254,
13,7,2,37,138700.00544101006,141338.84994581476,MORENA-PT-Partido Verde
13,7,1,49,84268.77423724758,85872.03438936896,MORENA-PT-Partido Verde
13,7,1,19,46117.20302602376,46994.60838296835,MORENA-PT-Partido Verde
13,7,2,19,52576.27719535136,53576.57001955783,MORENA-PT-Partido Verde
13,7,1,35,106301.93019655625,108324.38335693929,MORENA-PT-Partido Verde
13,4,2,53,135849.7462701944,138434.3630139672,MORENA-PT-Partido Verde
13,7,2,24,78001.89732203253,79485.92666621399,MORENA-PT-Partido Verde
13,99,1,76,147450.22684921027,150255.54916780768,
15,99,2,40,29656.004308292384,30220.2262328307,
15,7,1,73,30050.532126241626,30622.26016125974,MORENA-PT-Partido Verde
15,7,2,62,77869.38161510332,79350.88977448801,MORENA-PT-Partido Verde
15,7,1,40,26507.010402510343,27011.32097205257,MORENA-PT-Partido Verde
15,7,1,50,18600.462103034588,18954.346207446513,MORENA-PT-Partido Verde
15,7,2,20,19845.722110814047,20223.29797730005,MORENA-PT-Partido Verde
15,99,2,51,34405.03938037108,35059.6143302264,
15,95,1,34,39779.12110812436,40535.94094247382,Ninguno
15,7,1,18,11733.422226948103,11956.657090333196,MORENA-PT-Partido Verde
15,7,2,54,27559.22761834967,28083.557203818033,MORENA-PT-Partido Verde
27,7,1,74,86818.23933089327,88470.0044699551,MORENA-PT-Partido Verde
27,7,1,19,31102.87960351537,31694.629132755625,MORENA-PT-Partido Verde
27,7,2,23,61467.74335418854,62637.20125188078,MORENA-PT-Partido Verde
27,7,1,66,86818.23933089327,88470.0044699551,MORENA-PT-Partido Verde
27,7,2,32,68808.42607035337,70117.54452671303,MORENA-PT-Partido Verde
27,7,2,38,67199.54656876904,68478.0552005786,MORENA-PT-Partido Verde
27,7,2,66,108212.30511044557,110271.10421275994,MORENA-PT-Partido Verde
27,7,1,18,31102.87960351537,31694.629132755625,MORENA-PT-Partido Verde
27,95,2,27,90630.62185390362,92354.9196842157,Ninguno
27,7,1,29,95612.60974027241,97431.69265235247,MORENA-PT-Partido Verde
28,7,2,43,38378.54429131259,39108.71737518177,MORENA-PT-Partido Verde
28,7,1,59,37823.67565360315,38543.29205399671,MORENA-PT-Partido Verde
28,7,2,63,29951.782724490695,30521.63199738955,MORENA-PT-Partido Verde
28,7,2,34,17879.88682888308,18220.061589186138,MORENA-PT-Partido Verde
28,7,2,47,23607.64489434245,24056.793427557986,MORENA-PT-Partido Verde
28,7,1,54,12934.125450161691,13180.204358090286,MORENA-PT-Partido Verde
28,1,1,33,39703.866248687955,40459.25431761209,PAN-PRI-PRD
28,7,2,24,12199.158320509625,12431.254071298983,MORENA-PT-Partido Verde
28,7,1,40,25906.964984024515,26399.859356788882,MORENA-PT-Partido Verde
28,7,1,20,16656.495009849554,16973.39406249409,MORENA-PT-Partido Verde
5,2,2,20,107010.2851629984,109046.21516936067,PAN-PRI-PRD
5,7,2,26,167241.21642045624,170423.07328862828,MORENA-PT-Partido Verde
5,7,1,75,93045.18488534044,94815.42111606391,MORENA-PT-Partido Verde
5,99,2,67,205367.51442964215,209274.74525630963,
5,7,2,38,79856.91884504394,81376.24100220494,MORENA-PT-Partido Verde
5,6,2,50,154664.7125214483,157607.2944299833,Movimiento Ciudadano
5,7,1,26,175446.12234817335,178784.08210077535,MORENA-PT-Partido Verde
5,3,1,24,153723.0209242642,156647.68662804816,PAN-PRI-PRD
5,2,1,43,227254.34311212902,231577.98298948645,PAN-PRI-PRD
5,2,1,50,113457.37274585819,115615.96216802891,PAN-PRI-PRD
27,7,1,24,34821.6410374284,35484.14206479124,MORENA-PT-Partido Verde
27,95,1,32,60188.173618812856,61333.28699284071,Ninguno
27,95,2,39,36527.86010707207,37222.82289823662,Ninguno
27,7,2,28,31609.877522444753,32211.272968194244,MORENA-PT-Partido Verde
27,2,1,18,23176.24267307558,23617.18353984344,PAN-PRI-PRD
27,6,2,20,34048.477521190325,34696.2686839814,Movimiento Ciudadano
27,7,2,20,26763.945696809125,27273.144602781438,MORENA-PT-Partido Verde
27,95,1,47,38259.89148318311,38987.80713159138,Ninguno
27,7,1,31,48212.11097464878,49129.37311682364,MORENA-PT-Partido Verde
27,7,2,38,29259.65583042956,29816.337005423782,MORENA-PT-Partido Verde
19,7,2,44,82211.74277605867,83775.86676412361,MORENA-PT-Partido Verde
19,6,2,66,87460.82090340964,89124.81151316366,Movimiento Ciudadano
19,6,2,52,64636.897332860586,65866.65014211327,Movimiento Ciudadano
