columnas,genero,indice_gap,min,max,estado,total
_55_59_HOMBRES,1,5559,55,59,13,77981
_55_59_MUJERES,2,5559,55,59,13,90003
_55_59_NOBINARIO,9,5559,55,59,13,0
_60_64_HOMBRES,1,6064,60,64,13,65068
_60_64_MUJERES,2,6064,60,64,13,75216
_60_64_NOBINARIO,9,6064,60,64,13,0
_65_Y_MAS_HOMBRES,1,65,65,100,13,148239
_65_Y_MAS_MUJERES,2,65,65,100,13,176039
_65_Y_MAS_NOBINARIO,9,65,65,100,13,0
_18_HOMBRES,1,18,18,18,14,50068
_18_MUJERES,2,18,18,18,14,50355
_18_NOBINARIO,9,18,18,18,14,2
_19_HOMBRES,1,19,19,19,14,69984
_19_MUJERES,2,19,19,19,14,70338
_19_NOBINARIO,9,19,19,19,14,2
_20_24_HOMBRES,1,2024,20,24,14,382900
_20_24_MUJERES,2,2024,20,24,14,381482
_20_24_NOBINARIO,9,2024,20,24,14,11
_25_29_HOMBRES,1,2529,25,29,14,379863
_25_29_MUJERES,2,2529,25,29,14,372860
_25_29_NOBINARIO,9,2529,25,29,14,4
_30_34_HOMBRES,1,3034,30,34,14,361295
_30_34_MUJERES,2,3034,30,34,14,362127
_30_34_NOBINARIO,9,3034,30,34,14,3
_35_39_HOMBRES,1,3539,35,39,14,338943
_35_39_MUJERES,2,3539,35,39,14,345566
_35_39_NOBINARIO,9,3539,35,39,14,2
_40_44_HOMBRES,1,4044,40,44,14,315783
_40_44_MUJERES,2,4044,40,44,14,325704
_40_44_NOBINARIO,9,4044,40,44,14,1
_45_49_HOMBRES,1,4549,45,49,14,290745
_45_49_MUJERES,2,4549,45,49,14,307733
_45_49_NOBINARIO,9,4549,45,49,14,0
_50_54_HOMBRES,1,5054,50,54,14,276573
_50_54_MUJERES,2,5054,50,54,14,295937
_50_54_NOBINARIO,9,5054,50,54,14,0
_55_59_HOMBRES,1,5559,55,59,14,226032
_55_59_MUJERES,2,5559,55,59,14,250958
_55_59_NOBINARIO,9,5559,55,59,14,0
_60_64_HOMBRES,1,6064,60,64,14,187473
_60_64_MUJERES,2,6064,60,64,14,211656
_60_64_NOBINARIO,9,6064,60,64,14,0
_65_Y_MAS_HOMBRES,1,65,65,100,14,419693
_65_Y_MAS_MUJERES,2,65,65,100,14,503233
_65_Y_MAS_NOBINARIO,9,65,65,100,14,0
_18_HOMBRES,1,18,18,18,15,104009
_18_MUJERES,2,18,18,18,15,104297
_18_NOBINARIO,9,18,18,18,15,0
_19_HOMBRES,1,19,19,19,15,144529
_19_MUJERES,2,19,19,19,15,144919
_19_NOBINARIO,9,19,19,19,15,2
_20_24_HOMBRES,1,2024,20,24,15,779523
_20_24_MUJERES,2,2024,20,24,15,777542
_20_24_NOBINARIO,9,2024,20,24,15,0
_25_29_HOMBRES,1,2529,25,29,15,741221
_25_29_MUJERES,2,2529,25,29,15,740862
_25_29_NOBINARIO,9,2529,25,29,15,1
_30_34_HOMBRES,1,3034,30,34,15,711311
_30_34_MUJERES,2,3034,30,34,15,747811
_30_34_NOBINARIO,9,3034,30,34,15,0
_35_39_HOMBRES,1,3539,35,39,15,635838
_35_39_MUJERES,2,3539,35,39,15,688122
_35_39_NOBINARIO,9,3539,35,39,15,0
_40_44_HOMBRES,1,4044,40,44,15,598557
_40_44_MUJERES,2,4044,40,44,15,666854
_40_44_NOBINARIO,9,4044,40,44,15,1
