"estado","columnas","total","digitos","min","max","genero"
2,"LISTA_25_29_MUJERES",183486,"2529","25","29",2
2,"LISTA_25_29_NOBINARIO",1,"2529","25","29",9
2,"LISTA_30_34_HOMBRES",184563,"3034","30","34",1
2,"LISTA_30_34_MUJERES",176465,"3034","30","34",2
2,"LISTA_30_34_NOBINARIO",1,"3034","30","34",9
2,"LISTA_35_39_HOMBRES",164701,"3539","35","39",1
2,"LISTA_35_39_MUJERES",159675,"3539","35","39",2
2,"LISTA_35_39_NOBINARIO",0,"3539","35","39",9
2,"LISTA_40_44_HOMBRES",153962,"4044","40","44",1
2,"LISTA_40_44_MUJERES",150390,"4044","40","44",2
2,"LISTA_40_44_NOBINARIO",0,"4044","40","44",9
2,"LISTA_45_49_HOMBRES",148972,"4549","45","49",1
2,"LISTA_45_49_MUJERES",148039,"4549","45","49",2
2,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
2,"LISTA_50_54_HOMBRES",143814,"5054","50","54",1
2,"LISTA_50_54_MUJERES",141634,"5054","50","54",2
2,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
2,"LISTA_55_59_HOMBRES",116162,"5559","55","59",1
2,"LISTA_55_59_MUJERES",118207,"5559","55","59",2
2,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
2,"LISTA_60_64_HOMBRES",90788,"6064","60","64",1
2,"LISTA_60_64_MUJERES",97358,"6064","60","64",2
2,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
2,"LISTA_65_Y_MAS_HOMBRES",167308,"65","65","100",1
2,"LISTA_65_Y_MAS_MUJERES",204837,"65","65","100",2
2,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
20,"LISTA_18_HOMBRES",19764,"18","18","18",1
20,"LISTA_18_MUJERES",21051,"18","18","18",2
20,"LISTA_18_NOBINARIO",0,"18","18","18",9
20,"LISTA_19_HOMBRES",31655,"19","19","19",1
20,"LISTA_19_MUJERES",33572,"19","19","19",2
20,"LISTA_19_NOBINARIO",0,"19","19","19",9
20,"LISTA_20_24_HOMBRES",173367,"2024","20","24",1
20,"LISTA_20_24_MUJERES",182276,"2024","20","24",2
20,"LISTA_20_24_NOBINARIO",0,"2024","20","24",9
20,"LISTA_25_29_HOMBRES",174028,"2529","25","29",1
